Diâmetro [mm],Tempo [s]
111,14:38:10
84,14:38:11
126,14:38:11
114,14:38:12
114,14:38:13
87,14:38:13
126,14:38:14
117,14:38:15
117,14:38:15
90,14:38:16
87,14:38:17
90,14:38:17
87,14:38:18
90,14:38:19
117,14:38:19
117,14:38:20
117,14:38:21
90,14:38:21
117,14:38:22
117,14:38:23
129,14:38:24
114,14:38:24
84,14:38:25
93,14:38:26
75,14:38:26
129,14:38:27
90,14:38:28
84,14:38:28
90,14:38:29
90,14:38:30
90,14:38:30
90,14:38:31
123,14:38:32
126,14:38:32
126,14:38:33
129,14:38:34
126,14:38:34
129,14:38:35
126,14:38:36
129,14:38:36
129,14:38:37
129,14:38:38
129,14:38:38
108,14:38:39
90,14:38:40
129,14:38:40
129,14:38:41
129,14:38:42
81,14:38:43
117,14:38:43
120,14:38:44
120,14:38:45
117,14:38:45
84,14:38:46
93,14:38:47
126,14:38:47
81,14:38:48
81,14:38:49
117,14:38:49
81,14:38:50
129,14:38:51
129,14:38:51
84,14:38:52
90,14:38:53
93,14:38:53
93,14:38:54
90,14:38:55
93,14:38:55
93,14:38:56
93,14:38:57
81,14:38:57
120,14:38:58
123,14:38:59
120,14:38:59
123,14:39:00
123,14:39:01
123,14:39:01
123,14:39:02
123,14:39:03
123,14:39:04
123,14:39:04
90,14:39:05
129,14:39:06
129,14:39:06
117,14:39:07
117,14:39:08
120,14:39:08
120,14:39:09
129,14:39:10
117,14:39:10
117,14:39:11
117,14:39:12
126,14:39:12
126,14:39:13
126,14:39:14
126,14:39:14
126,14:39:15
126,14:39:16
129,14:39:17
126,14:39:17
120,14:39:18
129,14:39:19
129,14:39:19
129,14:39:20
129,14:39:21
129,14:39:21
129,14:39:22
114,14:39:23
117,14:39:23
90,14:39:24
114,14:39:25
90,14:39:25
117,14:39:26
123,14:39:27
126,14:39:27
120,14:39:28
120,14:39:29
123,14:39:29
126,14:39:30
129,14:39:31
129,14:39:32
132,14:39:32
132,14:39:33
126,14:39:34
120,14:39:34
129,14:39:35
129,14:39:36
123,14:39:36
123,14:39:37
111,14:39:38
111,14:39:38
132,14:39:39
132,14:39:40
114,14:39:40
132,14:39:41
132,14:39:42
129,14:39:42
111,14:39:43
132,14:39:44
129,14:39:44
129,14:39:45
129,14:39:46
129,14:39:46
129,14:39:47
123,14:39:48
123,14:39:48
99,14:39:49
129,14:39:50
132,14:39:50
132,14:39:51
132,14:39:52
132,14:39:52
129,14:39:53
129,14:39:54
132,14:39:55
132,14:39:55
132,14:39:56
126,14:39:57
126,14:39:57
126,14:39:58
123,14:39:59
126,14:40:00
129,14:40:00
126,14:40:01
126,14:40:02
129,14:40:03
126,14:40:03
129,14:40:04
126,14:40:05
126,14:40:06
129,14:40:06
126,14:40:07
126,14:40:08
126,14:40:09
126,14:40:09
129,14:40:10
129,14:40:11
132,14:40:11
132,14:40:12
132,14:40:13
129,14:40:14
129,14:40:14
129,14:40:15
132,14:40:16
126,14:40:17
129,14:40:17
132,14:40:18
132,14:40:19
135,14:40:20
135,14:40:20
132,14:40:21
132,14:40:22
135,14:40:23
135,14:40:23
132,14:40:24
132,14:40:25
135,14:40:26
135,14:40:27
132,14:40:27
135,14:40:28
135,14:40:29
135,14:40:29
135,14:40:30
138,14:40:31
138,14:40:32
135,14:40:32
135,14:40:33
138,14:40:34
135,14:40:35
132,14:40:35
132,14:40:36
132,14:40:37
135,14:40:37
135,14:40:38
135,14:40:39
135,14:40:40
135,14:40:40
135,14:40:41
135,14:40:42
132,14:40:42
135,14:40:43
135,14:40:44
135,14:40:44
135,14:40:45
135,14:40:46
138,14:40:47
138,14:40:47
138,14:40:48
135,14:40:49
138,14:40:50
138,14:40:50
135,14:40:51
135,14:40:52
135,14:40:52
135,14:40:53
138,14:40:54
141,14:40:54
141,14:40:55
138,14:40:56
141,14:40:57
141,14:40:57
141,14:40:58
141,14:40:59
141,14:41:00
135,14:41:00
144,14:41:01
138,14:41:02
135,14:41:03
135,14:41:03
132,14:41:04
132,14:41:05
132,14:41:06
132,14:41:06
132,14:41:07
132,14:41:08
144,14:41:08
141,14:41:09
141,14:41:10
141,14:41:10
141,14:41:11
138,14:41:12
138,14:41:13
138,14:41:13
138,14:41:14
138,14:41:15
141,14:41:16
141,14:41:17
141,14:41:17
138,14:41:18
138,14:41:19
138,14:41:19
138,14:41:20
138,14:41:21
138,14:41:22
138,14:41:22
138,14:41:23
138,14:41:24
138,14:41:24
138,14:41:25
138,14:41:26
135,14:41:27
135,14:41:27
135,14:41:28
135,14:41:29
138,14:41:30
138,14:41:30
138,14:41:31
138,14:41:32
138,14:41:33
138,14:41:33
138,14:41:34
135,14:41:35
135,14:41:36
138,14:41:36
138,14:41:37
135,14:41:38
135,14:41:39
138,14:41:39
138,14:41:40
138,14:41:41
138,14:41:41
138,14:41:42
138,14:41:43
135,14:41:44
135,14:41:44
135,14:41:45
135,14:41:46
135,14:41:47
138,14:41:48
135,14:41:48
138,14:41:49
135,14:41:50
135,14:41:51
138,14:41:51
138,14:41:52
138,14:41:53
138,14:41:54
138,14:41:54
138,14:41:55
138,14:41:56
138,14:41:57
138,14:41:57
138,14:41:58
138,14:41:59
138,14:42:00
138,14:42:01
138,14:42:02
138,14:42:03
138,14:42:03
138,14:42:04
138,14:42:05
